"gml_id","roof_flat","roof_var","prob_flat","prob_not_flat","label"
"b31e1feb1-00ba-11e6-b420-2bdcc4ab5d7f","Flat",0.010025641025641,0.93728637660801,0.0627136233919904,"Flat"
"b31bc26a8-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",1.3197882489051,2.01389134906354e-103,1,"Not flat"
"b31bdfb7f-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.867843420514273,3.76176393010874e-42,1,"Not flat"
"b31be49eb-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.527195636683603,1.11640879794013e-13,0.999999999999888,"Not flat"
"b31bbd90d-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",2.13248482320866,5.11590274685767e-281,1,"Not flat"
"b112715ef-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.818809753336919,4.08984883255295e-37,1,"Not flat"
"b31e1d795-00ba-11e6-b420-2bdcc4ab5d7f","Flat",0.047,0.955234022308062,0.0447659776919378,"Flat"
"b11282794-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",1.08680271823798,1.72481980523338e-68,1,"Not flat"
"b31bc269e-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.542071070154041,1.32542920684267e-14,0.999999999999987,"Not flat"
"b1128007f-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.114451981217729,0.933780784863274,0.0662192151367256,"Flat"
"b31bcc275-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.914761727059115,2.89100488238281e-47,1,"Not flat"
"b31bc9c37-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.136799812324054,0.900780251855951,0.0992197481440489,"Flat"
"b1126c87e-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",2.82785981256587,0,1,"Not flat"
"b112827b7-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",1.73792049273091,5.66382790397951e-184,1,"Not flat"
"b112827a8-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.611130497931259,2.79027514763885e-19,1,"Not flat"
"b31bd3852-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.124210088888889,0.92219493666892,0.0778050633310795,"Flat"
"b31bd5f7b-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.526828896093871,1.17563672201948e-13,0.999999999999883,"Not flat"
"b31bd3833-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.104442354312354,0.94238247793548,0.0576175220645205,"Flat"
"b31bce9df-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.482123551237941,4.72851625897729e-11,0.999999999952715,"Not flat"
"b31be22c2-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.844336487940309,1.06950097647614e-39,1,"Not flat"
"b31bdd428-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.836061840958606,7.51080833095736e-39,1,"Not flat"
"b31bdd44c-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.787783006797281,4.32086257737055e-34,1,"Not flat"
"b11280070-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",1.35987996043822,3.7561923714805e-110,1,"Not flat"
"b31bdfb89-00ba-11e6-b420-2bdcc4ab5d7f","Flat",0.227317058823529,0.245887221214257,0.754112778785743,"Not flat"
"b31bbd921-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.0632714322431408,0.956326656421074,0.0436733435789255,"Flat"
"b31bdfb7a-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.898444519435071,1.87267852688992e-45,1,"Not flat"
"b31bc267b-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.0858566666666666,0.952106630546195,0.0478933694538052,"Flat"
"b31bc4dc2-00ba-11e6-b420-2bdcc4ab5d7f","Flat",0.0144189642041127,0.94094086985246,0.0590591301475397,"Flat"
"b31be22b0-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.790023417366947,2.63906855458976e-34,1,"Not flat"
"b31bdfb74-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.865399933359989,6.82076180904429e-42,1,"Not flat"
"b31bce9cb-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.151368229847494,0.862668870027189,0.137331129972811,"Flat"
"b31bc2685-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.722774570637119,3.64564667243743e-28,1,"Not flat"
"b31bd10f5-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.485902547211243,2.91549505269553e-11,0.999999999970845,"Not flat"
"b31e1b05d-00ba-11e6-b420-2bdcc4ab5d7f","Flat",0.00361226315789474,0.930901195125935,0.069098804874065,"Flat"
"b11280066-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.802486993666454,1.65296931755923e-35,1,"Not flat"
"b31bbff40-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.0767803825586179,0.954655597136327,0.0453444028636734,"Flat"
"b31bc9c62-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.150682258626699,0.864878599175491,0.135121400824509,"Flat"
"b31bdd437-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.918476840958606,1.10596907092189e-47,1,"Not flat"
"b31be49e6-00ba-11e6-b420-2bdcc4ab5d7f","Flat",0.0144708328397109,0.940980866208235,0.0590191337917654,"Flat"
"b31e1d778-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.0502767620020429,0.95572904245265,0.0442709575473498,"Flat"
"b31bc9c50-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.147891687537269,0.873398410941684,0.126601589058316,"Flat"
"b31e1d773-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.144559759481961,0.882646414330841,0.117353585669159,"Flat"
"b31be22c7-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.316897053686339,0.00105886340444416,0.998941136595556,"Not flat"
"b31e1feae-00ba-11e6-b420-2bdcc4ab5d7f","Flat",0.0221372822299652,0.946167278356007,0.0538327216439927,"Flat"
"b31e1b041-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.154448318462594,0.852149626603904,0.147850373396096,"Flat"
"b31bbd917-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.671451466715103,7.05970879672287e-24,1,"Not flat"
"b31bce9d5-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.432432130810227,1.82798719860233e-08,0.999999981720128,"Not flat"
"b31bd111b-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.0801731175283341,0.953846657123011,0.0461533428769885,"Flat"
"b31bbff45-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.744971201390677,3.98703834164813e-30,1,"Not flat"
"b31be22cc-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",1.44327312490584,7.9790209092895e-125,1,"Not flat"
"b31bbff59-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.775605201427146,6.13629874770557e-33,1,"Not flat"
"b31bbff5e-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.253004335759543,0.0747759357419493,0.925224064258051,"Not flat"
"b31e1feab-00ba-11e6-b420-2bdcc4ab5d7f","Flat",0.0523716333845366,0.955971293707138,0.044028706292862,"Flat"
"b31bc4dc7-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",1.03833249105614,4.06706979257434e-62,1,"Not flat"
"b31be22b5-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.79452761627907,9.74954090967131e-35,1,"Not flat"
"b31bcc27f-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",1.47934681286902,1.87153545299568e-131,1,"Not flat"
"b31be22bd-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",1.43261740484286,6.72410261829432e-123,1,"Not flat"
"b31bb8ab5-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.807778196831817,5.02701445720205e-36,1,"Not flat"
"b31bc4dbd-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.92111786988912,5.57165555489297e-48,1,"Not flat"
"b31be22ad-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.749654115563444,1.50885452739545e-30,1,"Not flat"
"b112827ad-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",1.11053033313453,1.01118139824708e-71,1,"Not flat"
"b11267a1d-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",1.34481503599868,1.34303233836428e-107,1,"Not flat"
"b31bdfb6f-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.663070242936086,3.2813028217332e-23,1,"Not flat"
"b31bdfb64-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.751202068354181,1.09274846644771e-30,1,"Not flat"
"b31bd382e-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",1.29330371096641,4.30266632740825e-99,1,"Not flat"
"b31bdd442-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.787041114058355,5.08544840598626e-34,1,"Not flat"
"b11271601-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.733718996182544,4.0076230852971e-29,1,"Not flat"
"b31bdfb6a-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.691875619195046,1.52811297317771e-25,1,"Not flat"
"b31e1890f-00ba-11e6-b420-2bdcc4ab5d7f","Flat",0.0120119604152753,0.939005457888095,0.0609945421119047,"Flat"
"b31bd1116-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.120247222712044,0.927342651353441,0.0726573486465592,"Flat"
"b31bbd91c-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",1.34142835316566,4.98876353979999e-107,1,"Not flat"
"b1126a169-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",1.44956487824766,5.72690154010955e-126,1,"Not flat"
"b1128007a-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",1.09929183680311,3.50606630340485e-70,1,"Not flat"
"b1128006b-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.791115782853492,2.07401873073198e-34,1,"Not flat"
"b31bc751d-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.525231378724718,1.47183376630759e-13,0.999999999999853,"Not flat"
"b31bc9c53-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.698791519635743,4.05588529756851e-26,1,"Not flat"
"b31bcc293-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.553332106529834,2.526106079172e-15,0.999999999999998,"Not flat"
"b1126c883-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.162536237229326,0.819342338806953,0.180657661193047,"Flat"
"b31bc9c4b-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.812858282775453,1.59047127794432e-36,1,"Not flat"
"b31bd110e-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.842424865616898,1.68089320219702e-39,1,"Not flat"
"b31bce9c6-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.459660744152224,7.66301199357851e-10,0.999999999233699,"Not flat"
"b31bd5f76-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.552881645919779,2.70127272222928e-15,0.999999999999997,"Not flat"
"b31bbff63-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.8554117789501,7.62271163030923e-41,1,"Not flat"
"b31bb8aab-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",1.2508541177724,2.40695993939287e-92,1,"Not flat"
"b31be229e-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.940594911545777,3.32519957923898e-50,1,"Not flat"
"b31bc7522-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.436824408014572,1.11258852205097e-08,0.999999988874115,"Not flat"
"b31bbd92b-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.63113291005291,9.42387243480407e-21,1,"Not flat"
"b31bd10ff-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.196746069651741,0.569456662238446,0.430543337761554,"Not flat"
"b31be22a8-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",1.23833417918075,2.12069810868506e-90,1,"Not flat"
"b1128279e-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.975801758090394,2.37198874182098e-54,1,"Not flat"
"b31bdfb77-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.837426529516995,5.45376080941809e-39,1,"Not flat"
"b31e1b046-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.093260545308741,0.949043242219969,0.0509567577800305,"Flat"
"b31e1b04b-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.0412885212613474,0.954019627998914,0.0459803720010864,"Flat"
"b1105d28c-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",4.03014165508905,0,1,"Not flat"
"b31e18918-00ba-11e6-b420-2bdcc4ab5d7f","Flat",0.00594732620320856,0.933382316721923,0.0666176832780768,"Flat"
"b11280075-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.894695073627845,4.82795758758491e-45,1,"Not flat"
"b31e1fea8-00ba-11e6-b420-2bdcc4ab5d7f","Flat",0.104645812807882,0.942234973717143,0.057765026282857,"Flat"
"b31e18912-00ba-11e6-b420-2bdcc4ab5d7f","Not flat",0.156729249011858,0.84369380649299,0.15630619350701,"Flat"
